County,Mean Income
Alameda,"138,489"
Alpine,"107,737"
Amador,"85,184"
Butte,"79,233"
Calaveras,"84,164"
Colusa,"77,326"
Contra Costa,"141,278"
Del Norte,"67,290"
El Dorado,"113,718"
Fresno,"79,175"
Glenn,"65,185"
Humboldt,"70,922"
Imperial,"63,824"
Inyo,"73,561"
Kern,"75,161"
Kings,"75,449"
Lake,"72,862"
Lassen,"69,249"
Los Angeles,"103,220"
Madera,"77,625"
Marin,"181,737"
Mariposa,"64,323"
Mendocino,"74,102"
Merced,"76,432"
Modoc,"59,138"
Mono,"86,977"
Monterey,"104,485"
Napa,"129,566"
Nevada,"96,245"
Orange,"127,056"
Placer,"120,740"
Plumas,"76,142"
Riverside,"93,563"
Sacramento,"93,028"
San Benito,"108,229"
San Bernardino,"85,327"
San Diego,"111,241"
San Francisco,"167,663"
San Joaquin,"90,974"
San Luis Obispo,"100,044"
San Mateo,"182,158"
Santa Barbara,"111,731"
Santa Clara,"174,331"
Santa Cruz,"123,689"
Shasta,"77,167"
Sierra,"72,924"
Siskiyou,"65,853"
Solano,"104,791"
Sonoma,"113,067"
Stanislaus,"82,369"
Sutter,"86,703"
Tehama,"74,237"
Trinity,"56,776"
Tulare,"72,092"
Tuolumne,"83,401"
Ventura,"117,576"
Yolo,"103,461"
Yuba,"73,030"
