,CTYNAME,YEAR,POPESTIMATE,County,Size (square miles),density,class
0,Alameda,5,1622188,Alameda,739.02,2195.0529079050634,urban
1,Alpine,5,1141,Alpine,738.33,1.5453794373789498,rural
2,Amador,5,41811,Amador,594.58,70.32022604191194,semi-urban
3,Butte,5,207172,Butte,1636.46,126.5976559158183,semi-urban
4,Calaveras,5,46565,Calaveras,1020.01,45.651513220458625,semi-urban
5,Colusa,5,22037,Colusa,1150.73,19.150452321569787,rural
6,Contra Costa,5,1155025,Contra Costa,715.94,1613.2986004413776,urban
7,DelNorte,5,26589,DelNorte,1006.37,26.420700140107517,semi-urban
8,El Dorado,5,192215,El Dorado,1707.88,112.54596341663348,semi-urban
9,Fresno,5,1017162,Fresno,5957.99,170.72234092370078,semi-urban
10,Glenn,5,28129,Glenn,1313.95,21.407968339738954,rural
11,Humboldt,5,133985,Humboldt,3567.99,37.551955022295466,semi-urban
12,Imperial,5,179057,Imperial,4176.6,42.87147440501843,semi-urban
13,Inyo,5,18527,Inyo,10180.88,1.8197837515028172,rural
14,Kern,5,913820,Kern,8131.92,112.37444539542936,semi-urban
15,Kings,5,152682,Kings,1389.42,109.88901843934879,semi-urban
16,Lake,5,67878,Lake,1256.46,54.023208060742085,semi-urban
17,Lassen,5,28861,Lassen,4541.18,6.355396614976724,rural
18,Los Angeles,5,9663345,LosAngeles,4057.88,2381.377714471596,urban
19,Madera,5,162858,Madera,2137.07,76.20620756456269,semi-urban
20,Marin,5,254407,Marin,520.31,488.95273971286355,urban
21,Mariposa,5,16919,Mariposa,1448.82,11.67777915821151,rural
22,Mendocino,5,89108,Mendocino,3506.34,25.413394023397615,rural
23,Merced,5,291920,Merced,1934.97,150.86538809387224,semi-urban
24,Modoc,5,8500,Modoc,3917.77,2.1696015845748984,rural
25,Mono,5,13066,Mono,3048.98,4.285367565546511,rural
26,Monterey,5,430723,Monterey,3280.6,131.29397061513137,semi-urban
27,Napa,5,133216,Napa,748.36,178.0105831418034,semi-urban
28,Nevada,5,102037,Nevada,957.77,106.53601595372585,semi-urban
29,Orange,5,3135755,Orange,790.57,3966.4482588512083,urban
30,Placer,5,423561,Placer,1407.01,301.03623996986516,semi-urban
31,Plumas,5,19131,Plumas,2553.04,7.493419609563501,rural
32,Riverside,5,2492442,Riverside,7206.48,345.8612248975922,semi-urban
33,Sacramento,5,1584288,Sacramento,964.64,1642.361917399237,urban
34,San Benito,5,68175,SanBenito,1388.71,49.09232309121415,semi-urban
35,San Bernardino,5,2195611,SanBernardino,20056.94,109.46889206429296,semi-urban
36,San Diego,5,3269973,SanDiego,4206.63,777.3379165745501,urban
37,San Francisco,5,808988,SanFrancisco,46.87,17260.251760187755,urban
38,San Joaquin,5,800965,SanJoaquin,1391.32,575.6871172699307,urban
39,San Luis Obispo,5,281639,SanLuisObispo,3298.57,85.38215044701188,semi-urban
40,San Mateo,5,726353,SanMateo,448.41,1619.8412167436052,urban
41,Santa Barbara,5,441257,SantaBarbara,2735.09,161.33180260978614,semi-urban
42,Santa Clara,5,1877592,SantaClara,1290.1,1455.3848538872955,urban
43,Santa Cruz,5,261547,SantaCruz,445.17,587.5216209537929,urban
44,Shasta,5,180366,Shasta,3775.4,47.77401070085289,semi-urban
45,Sierra,5,3200,Sierra,953.21,3.3570776638935804,rural
46,Siskiyou,5,42905,Siskiyou,6277.89,6.834302608041874,rural
47,Solano,5,449218,Solano,821.77,546.646872,urban
48,Sonoma,5,481812,Sonoma,1575.85,305.7473744328458,semi-urban
49,Stanislaus,5,551430,Stanislaus,1494.83,368.8914458500298,urban
50,Sutter,5,97948,Sutter,602.41,162.59358244385055,semi-urban
51,Tehama,5,64896,Tehama,2949.71,22.000806858979356,rural
52,Trinity,5,15670,Trinity,3179.25,4.928835417158135,rural
53,Tulare,5,479468,Tulare,4824.22,99.38767303315355,semi-urban
54,Tuolumne,5,54204,Tuolumne,2220.88,24.40654155109686,rural
55,Ventura,5,829590,Ventura,1843.13,450.0984737918649,urban
56,Yolo,5,220544,Yolo,1014.69,217.35111216233528,semi-urban
57,Yuba,5,85722,Yuba,631.84,135.67042289187134,semi-urban
